gross_over_budget,budget_2016_mm,gross_2016_mm,tickets_sold,content_rating,imdb_score,num_critic_for_reviews,num_user_for_reviews,nudity,movie_scale,movie_title,plot_keywords
0.69,84,58,6.9,R,6.4,230,301,y,medium,Funny People,breasts|comedian|craigslist|infidelity|stand up comedian
0.71,32,23,2.9,R,6.6,92,316,y,medium,EuroTrip,female frontal nudity|male frontal nudity|nudist|nudity|public nudity
0.77,49,38,4.8,R,5,98,284,y,medium,Get Rich or Die Tryin',male frontal nudity|male pubic hair|prison|pubic hair|violence
0.81,26,21,2.7,R,7.7,192,559,y,medium,21 Grams,accident|faith|love|mathematician|nonlinear timeline
0.82,61,50,7.4,R,4.3,51,118,y,medium,Striptease,bouncer|breasts|congressman|private dancer|stripper
0.86,37,32,4.6,R,6.9,48,109,y,medium,He Got Game,basketball|basketball player|female nudity|porn actor in mainstream movie|prison
0.9,47,43,5.6,R,6.8,208,541,y,medium,From Hell,freemason|jack the ripper|opium|prostitute|victorian era
0.96,31,30,3.9,R,6.6,140,339,y,medium,Joy Ride,embarrassing male nudity|embarrassing nudity|male nudity|truck|truck driver
0.96,41,39,4.7,R,5.1,201,158,y,medium,Sex Tape,sex in a car|sex video|sexual desire|sexuality|undressing
0.98,39,39,4.9,R,7.5,441,1125,y,medium,A History of Violence,bar|crotch shot|female full frontal nudity|female pubic hair|robbery
1.02,67,69,10.1,R,5.6,28,62,y,medium,The Juror,breasts|mafia|sex scene|temple|woods
1.07,36,38,4.8,R,7.6,299,370,y,medium,The Reader,love|reading|teaching oneself to read|trial|war crime
1.07,85,91,13.3,R,7.5,117,431,y,medium,The Devil's Advocate,deal with the devil|lawyer|money|reality|supernatural power
1.08,33,36,4.1,R,6.7,219,215,y,medium,Love & Other Drugs,female nudity|male objectification|pfizer|viagra|zoloft
1.1,37,41,5.1,R,6.4,224,383,y,medium,The Number 23,destiny|detective|imagination|murder|sex scene
1.11,80,89,10.5,R,6.1,284,405,y,medium,Immortals,burned alive|castration|olympus|torture|torture device
1.14,96,109,12.9,R,7.8,517,632,y,medium,The Girl with the Dragon Tattoo,computer hacker|hacker|investigation|journalist|punk
1.24,63,78,9.3,R,6.7,265,172,y,medium,2 Guns,close up of breasts|female nudity|fugitive|money|undercover
1.25,60,74,9.5,R,6.8,206,502,y,medium,Underworld: Evolution,death|feud|forbidden love|vampire|werewolf
1.25,38,48,5.7,R,5.9,237,143,y,medium,Hall Pass,drugged food|female frontal nudity|male frontal nudity|male nudity|marriage
1.26,34,43,5.5,R,7.3,212,903,y,medium,Closer,cheating wife|film camera|hasselblad camera|leica camera|medium format camera
1.27,48,61,7.8,R,7.8,283,1043,y,medium,Apocalypto,jaguar|mayan|solar eclipse|tribe|village
1.3,28,36,4.3,R,6.2,271,268,y,medium,The Men Who Stare at Goats,first person narration|general|hampster|reference to loch ness monster|reporter
1.31,27,35,4.4,R,6.6,247,243,y,medium,Zack and Miri Make a Porno,actor|friend|male frontal nudity|male full frontal nudity|penis
1.37,30,41,5.3,R,6.9,181,867,y,medium,Jay and Silent Bob Strike Back,internet|jay and silent bob|new jersey|orangutan|police
1.37,79,109,14.9,R,6.8,171,452,y,medium,Any Given Sunday,breasts|coach|football|in medias res|vomiting
1.4,29,41,5.1,R,5.6,127,150,y,medium,Good Luck Chuck,breasts|leg spreading|mini skirt|sex|sex in bed
1.4,31,44,5.3,R,7,634,986,y,medium,The Cabin in the Woods,cabin in the woods|dark humor|hatchet|killed in an elevator|robot
1.44,69,100,13.6,R,6.8,152,419,y,medium,The Thomas Crown Affair,art|insurance investigator|martinique|painting|trust
1.46,61,90,11.6,R,7.2,185,651,y,medium,Insomnia,detective|insomnia|murder|partner|police
1.48,92,136,17.8,R,6.9,153,1248,y,medium,Vanilla Sky,death|dream|love|lynchian|reality
1.49,29,44,6.3,R,6.5,69,389,y,medium,Wild Things,erotic thriller|forbidden sex|lesbian sex|sex with a student|taboo sex
1.59,37,60,7,R,6.6,238,194,y,medium,Friends with Benefits,blow job|female rear nudity|girl in panties|male objectification|no panties
1.6,88,141,16.2,R,8.1,490,964,y,medium,Shutter Island,female prisoner|plot twist|self delusion|surprise ending|year 1954
1.69,61,103,13.5,R,7.7,109,633,y,medium,Training Day,lapd|narc|narcotics|title spoken by character|training
1.76,41,72,9.4,R,7.6,147,426,y,medium,Blow,1960s|1970s|california|cocaine|wealth
1.79,34,61,7.7,R,6.2,175,472,y,medium,Final Destination 2,car accident|death|freak accident|hospital|premonition
1.85,52,97,14.1,R,8.3,177,625,y,medium,L.A. Confidential,1950s|call girl|corruption|murder|police detective
1.85,49,91,11.6,R,8.1,374,1732,y,medium,Sin City,anthology|corruption|hearing characters thoughts|neo noir|night
1.86,46,85,11.4,R,6.3,225,677,y,medium,The Cell,coma|fbi|race against time|serial killer|strong female lead
1.9,72,136,17.3,R,6.3,153,332,y,medium,American Wedding,bachelor party|blow job|breasts|friend|wedding
2.03,58,117,16,R,7.3,203,696,y,medium,The Talented Mr. Ripley,1950s|italy|mistaken identity|nudity|sociopath
2.1,33,70,8.8,R,7.2,253,325,y,medium,Forgetting Sarah Marshall,breakup|hawaii|hotel|male full frontal nudity|resort
2.15,27,59,8,R,5.6,147,536,y,medium,House on Haunted Hill,billionaire|corpse|eccentric|haunted hospital|haunted house
2.17,40,87,11.2,R,7.2,217,612,y,medium,About Schmidt,highway travel|on the road|retirement|road movie|wedding
2.22,31,69,8.4,R,7.4,589,667,y,medium,Looper,chase|future|surprise ending|time loop|time travel
2.26,33,75,9.5,R,7.4,287,1057,y,medium,Dawn of the Dead,mall|mayhem|nurse|rear entry sex|survival horror
2.51,28,71,8.3,R,7.8,426,374,y,medium,The Big Short,bank|banking|finance|fraud|mortgage
2.74,39,107,13.6,R,5.8,273,885,y,medium,Freddy vs. Jason,elm street|freddy krueger|jason voorhees|serial killer|slasher
2.75,62,170,20.5,R,8.1,568,1127,y,medium,Gone Girl,based on novel|disappearance|missing person|missing wife|murder suspect
3.11,31,97,12.4,R,7.2,123,404,y,medium,Old School,college|fraternity|friend|house|party
3.18,85,272,32.1,R,6.5,383,402,y,medium,The Hangover Part II,hotel|male frontal nudity|pubic hair|thailand|wedding
3.75,41,155,18.5,R,7.3,538,751,y,medium,American Hustle,based on true story|con artist|drunk wife|fbi investigation|scam
4.01,37,148,21.4,R,7.2,134,752,y,medium,Shakespeare in Love,actor|audition|muse|playwright|theater
4.06,38,155,18.5,R,7,289,301,y,medium,We're the Millers,fake family|male frontal nudity|marijuana|mexico|stripper
4.15,41,168,19.7,R,4.1,362,1360,y,medium,Fifty Shades of Grey,female frontal nudity|female nudity|perversion|sex scene|spanking
4.2,32,134,17,R,7.1,217,546,y,medium,The 40-Year-Old Virgin,40 year old|car accident|cheating on girlfriend|collection|porno movie
4.84,41,197,25.6,R,6.4,142,431,y,medium,American Pie 2,beach|beach house|college|party|student
4.96,35,172,21.6,R,7,251,559,y,medium,Knocked Up,one night stand|pregnancy|slacker|unplanned pregnancy|website
5.2,35,180,21.3,R,6.8,371,485,y,medium,Bridesmaids,best friend|failure|food|job|partial female nudity
7.67,34,260,37.6,R,7.1,171,611,y,medium,There's Something About Mary,accident|curtain call|dream girl|high school|prom
7.92,39,310,37,R,7.8,334,626,y,medium,The Hangover,drunkenness|female nudity|hangover|hedonism|morning after
8.53,26,225,30.7,R,6.9,52,134,y,medium,Stripes,army|boot camp|breasts|graduation|rescue
0,17,0,0.004,R,7.7,185,1100,y,small,The Butterfly Effect,blackout|child pornography|memory|surprise ending|time travel
0.01,7,0,0.009,R,7.2,217,92,y,small,The Messenger,captain|casualty notification|casualty notification team|sergeant|staff sergeant
0.01,20,0,0.03,R,6.5,105,97,y,small,Fur: An Imaginary Portrait of Diane Arbus,character name in title|diane arbus|male full frontal nudity|photographer|pubic hair
0.02,5,0,0.01,R,5.9,138,137,y,small,After.Life,breath on mirror|buried alive|engagement ring|looking at one's self in a mirror|serial killer
0.04,13,0,0.1,Not Rated,5,115,226,y,small,The Brown Bunny,boyfriend girlfriend relationship|erection|female frontal nudity|gang rape|prostitute
0.05,10,1,0.1,R,5.3,131,61,y,small,By the Sea,cheating wife|cigarette smoking|male in shower|male nudity|male rear nudity
0.15,23,3,0.4,R,7.5,245,274,y,small,"Synecdoche, New York",actress|director|play|theatre director|warehouse
0.18,12,2,0.3,R,6.7,376,216,y,small,Killer Joe,female nudity|female pubic hair|lingerie|neo noir|pubic hair
0.2,8,2,0.2,R,4.8,15,35,y,small,The Barbarians,bare breasts|comic relief|dragon|gladiator|harem
0.22,9,2,0.3,R,6.8,19,39,y,small,Light Sleeper,bare breasts|drugs|existentialism|new york city|redemption
0.24,8,2,0.3,R,6.4,117,106,y,small,Factory Girl,andy warhol|female nudity|public nudity|singer|socialite
0.25,25,6,0.8,R,6.1,167,361,y,small,Birth,birthday|boy|dead husband|death|widow
0.28,12,3,0.4,R,6.3,226,166,y,small,Chloe,bare chested boy|doctor|escort|infidelity|prostitute
0.28,18,5,0.7,R,7.6,223,336,y,small,Kiss Kiss Bang Bang,actor|detective sergeant|hotel|nightclub|thief
0.32,21,7,0.9,R,6,65,123,y,small,Duets,convict|karaoke|middle america|salesman|singer
0.33,14,5,0.6,R,7,146,124,y,small,Charlie Bartlett,drugs|high school|prescription drugs|private school|student
0.34,8,3,0.4,R,5.8,84,105,y,small,Novocaine,dentist|drugs|murder|sex|sunflower
0.43,8,3,0.4,R,7.3,328,140,y,small,Anomalisa,full frontal male nudity|hotel room|multiple characters voiced by same person|one night stand|sex in hotel room
0.52,12,6,0.8,R,7,136,238,y,small,Igby Goes Down,boy|mistress|money|schizophrenic|school
0.63,18,11,1.4,R,7,197,200,y,small,Black Snake Moan,breasts|nipples visible through clothing|nudity|rear entry sex|white panties
0.76,7,5,0.6,R,5.1,76,73,y,small,Miss March,fellatio|hugh hefner|oral sex|playboy centerfold|topless female nudity
0.8,6,5,0.7,R,8.4,234,1916,y,small,Requiem for a Dream,addiction|diet pill|drug addiction|fast motion scene|heroin
0.86,24,21,2.7,R,7.5,99,359,y,small,Life as a House,cancer|construction|house|house construction|neighbor
0.87,20,17,2.2,R,7.6,158,469,y,small,House of Sand and Fog,auction|home|house|iranian|marriage
0.98,15,14,2.1,R,6.3,100,481,y,small,Very Bad Things,bachelor party|breasts|friend|prostitute|wedding
1.01,5,5,0.7,R,7.1,163,390,y,small,Secretary,bdsm|employer employee relationship|hospital|mental hospital|secretary
1.08,18,19,2.8,R,6.6,24,88,y,small,Living Out Loud,brooklyn bridge|divorce|female protagonist|female star appears nude|lingerie slip
1.11,24,26,3.1,R,8,574,748,y,small,Her,divorce|female frontal nudity|future|loneliness|operating system
1.22,17,21,2.7,R,8.2,274,760,y,small,Into the Wild,alaska|based on true story|male nudity|self discovery|wilderness
1.31,8,10,1.2,R,7.6,281,247,y,small,A Single Man,car accident|male full back nudity|practicing a suicide|public nudity|suicide contemplation
1.35,7,9,1.2,R,5.3,56,131,y,small,The Forsaken,flashing breasts|hitchhiker|vampire|vampire hunter|virus
1.63,5,9,1.1,R,6.7,143,425,y,small,The Rules of Attraction,bisexual|college|drug dealer|drugs|student
1.76,22,39,5.7,R,7.9,153,560,y,small,Boogie Nights,1970s|adult entertainment industry|nightclub|porn industry|san fernando valley california
1.76,17,30,4.2,R,7,164,374,y,small,Stir of Echoes,disappearance|hearing voices|hypnosis|post hypnotic suggestion|seeing a ghost
1.91,18,34,4.9,R,7.4,128,290,y,small,Rounders,breasts|cult film|loan shark|poker|reference to christy turlington
2,10,20,2.8,R,6.1,28,29,y,small,In Too Deep,cunnilingus|oral sex|police|sex scene|undercover
2.11,12,26,3.1,R,6.5,161,93,y,small,Top Five,bare breasts|celebrity|in medias res|reference to planet of the apes|sex talk
2.15,10,21,2.8,R,7.6,288,1061,y,small,American Psycho,1980s|business card|male rear nudity|materialism|narcissism
2.16,12,25,3.7,R,6.7,40,164,y,small,Half Baked,bail|diabetic|friend|jail|pharmaceutical lab
2.18,9,19,2.4,R,5.9,233,351,y,small,The Ruins,bow and arrow|group of friends|horse|rifle|ruins
2.23,23,51,6.5,R,5.6,140,207,y,small,40 Days and 40 Nights,female on male rape|lent|male rear nudity|masturbation|sex
2.32,14,33,4.2,R,7,170,444,y,small,Crank,assassin|cult film|doctor|heart|poison
2.34,16,37,4.4,R,7.8,676,1264,y,small,Drive,kissing in an elevator|mythical hero|neo noir|protective male|silent protagonist
2.36,25,60,7.2,R,8.1,536,644,y,small,The Grand Budapest Hotel,first person narration|hotel|lobby boy|mentor protege relationship|painting
2.37,22,51,6.7,R,5.7,97,393,y,small,Not Another Teen Movie,cheerleader|foreign exchange student|incestuous desire|incestuous kiss|prom
2.43,6,15,1.8,R,6.5,81,100,y,small,Phantasm II,cemetery|female nudity|mortuary|sphere|tall man
2.5,7,18,2.1,R,7.3,180,89,y,small,Dope,african american|geek|hip hop|party|tomboy
2.59,9,24,3.3,R,7.3,137,418,y,small,Go,drug deal|drugs|sex|sex on stairs|strip club
2.63,16,42,5.4,R,6.8,207,605,y,small,One Hour Photo,insanity|photo lab|photo shop|photography|voyeur
2.67,22,59,8.5,R,6.4,154,502,y,small,The Faculty,alien|high school|ohio|photographer|water
2.82,5,15,1.8,R,5.3,444,561,y,small,Spring Breakers,kissing a dead body|repeated dialogue|sex in pool|spring break|twins
2.83,21,58,7,R,8.1,597,695,y,small,12 Years a Slave,racism|separation from family|social injustice|torture|whipping
3.03,8,24,3.5,R,4.9,123,335,y,small,Halloween: The Curse of Michael Myers,halloween|michael myers|nudity|returning character with different actor|slasher flick
3.31,23,76,10.4,R,6.4,67,267,y,small,Varsity Blues,coach|coyote|popularity|quarterback|texas
3.66,11,40,5.9,R,7.2,93,202,y,small,Desperado,crushed by a car|female frontal nudity|female nudity|female rear nudity|one against many
4.17,9,36,4.9,R,6.9,18,50,y,small,The Wood,flashback|friendship|public nudity|shower|wedding
4.37,7,29,3.7,R,7.9,391,547,y,small,The Wrestler,heart attack|stripper|supermarket|wrestler|wrestling
4.39,22,96,12.7,R,6.5,103,302,y,small,Road Trip,blonde|college|friend|highway travel|road trip
4.96,5,26,3.1,R,6.4,179,115,y,small,Our Idiot Brother,art model|farmer|jail|nude model|three sisters
5.01,21,107,12.6,R,5.7,286,296,y,small,Bad Teacher,boob job|breast enlargement|breast surgery|cheating on a test|ejaculation
5.46,5,28,3.4,R,8,471,340,y,small,Dallas Buyers Club,drugs|fda|gay community|hiv|homophobia
5.86,22,129,14.9,R,7.1,156,81,y,small,Jackass 3D,full frontal male nudity|man wearing a jock strap|man wearing a thong|rear male nudity|stripped prison uniform
5.93,17,102,13,R,7.7,357,2254,y,small,Brokeback Mountain,gay relationship|homosexuality|mountain|ranch|rodeo
5.96,15,91,11.5,R,7.5,285,835,y,small,Sideways,actor|california|teacher|wine|writer
6.29,22,138,16.6,R,7.8,539,692,n,small,Silver Linings Playbook,adulterous wife|bipolar disorder|obsessive compulsive personality disorder|unhappy marriage|widow
6.63,17,116,14.8,R,7.4,71,250,y,small,Caddyshack,caddy|country club|golf course|gopher|nudity
7.66,6,45,5.7,R,7.3,185,533,y,small,Monster,beach|female criminal|hooker|lesbian|prostitute
7.81,5,42,5.5,R,7.1,153,522,y,small,Monster's Ball,cunnilingus|female frontal nudity|female nudity|interracial sex|rear entry sex
8.02,12,95,12.2,R,6.2,210,614,y,small,Saw III,brutality|female full frontal nudity|female nudity|torture|trap
8.34,18,152,18.4,R,6.4,351,397,y,small,Neighbors,broken leg|friendship|jewish|topless female nudity|urination
8.67,22,187,25.6,R,8.4,176,2715,y,small,American Beauty,domestic violence|drug dealer|homosexuality|midlife crisis|unfaithfulness
8.75,5,44,5.2,R,7.1,297,279,n,small,The Gift,compulsive liar|fired from a job|gift|rape|substance abuse
8.88,6,50,7.3,R,7.6,123,286,y,small,Leaving Las Vegas,alcoholic|bar|love|prostitute|sex
9.25,16,147,20,R,7,145,789,y,small,American Pie,1990s|first love|milf|prom|virginity
9.85,6,58,7.4,R,5.9,303,1516,y,small,Hostel,bratislava|hostel|sadistic horror|torture|travel
11.14,5,58,7.4,R,7.8,265,1848,y,small,Lost in Translation,fish out of water|japanese|loneliness|older man younger woman relationship|unlikely friendship
16.24,7,119,14.3,R,6.1,324,281,y,small,Magic Mike,bank|male nudity|male objectification|male stripper|stripper
0.01,1,0,0.002,Not Rated,6.1,71,31,y,tiny,Alone with Her,female nudity|female pubic hair|masturbation|panties|pubic hair
0.03,4,0,0.01,R,5.8,45,11,y,tiny,Saint John of Las Vegas,city name in title|male frontal nudity|place name in title
0.1,2,0,0.03,R,6.6,78,78,y,tiny,Sherrybaby,ex convict|halfway house|nipples visible through clothing|orgasm|parole officer
0.13,3,0,0.04,R,6.8,238,203,y,tiny,Super,drug dealer|superhero|tragedy|tragic hero|tragic love
0.16,4,1,0.1,R,4.6,46,13,y,tiny,The Virginity Hit,masturbation|porn star|sex lesson from a prostitute|spreadeagle|topless
0.2,0,0,0.006,R,3.9,162,87,y,tiny,The Canyons,cocaine|homosexual|penis|psychopath|pubic hair
0.21,3,1,0.1,R,6.8,92,199,y,tiny,Spun,male nudity|meth|meth lab|nudity|speed freak
0.3,0,0,0.005,Not Rated,6.7,8,16,y,tiny,Pink Narcissus,male frontal nudity|male pubic hair|male rear nudity|pubic hair|street hustler
0.33,2,1,0.1,NC-17,6.8,123,64,y,tiny,Inside Deep Throat,clitoris|deep throat|fellatio|oral sex|porn industry
0.34,4,2,0.2,R,5.1,49,40,y,tiny,The Toxic Avenger Part II,bare breasts|japan|tokyo japan|toxic avenger|troma
0.47,2,1,0.1,R,6.7,75,68,y,tiny,The Ballad of Jack and Rose,commune|defecation|environmentalism|fellatio|island
0.96,1,1,0.1,R,7.2,35,252,y,tiny,Latter Days,christian|male frontal nudity|mormon|mormon missionary|nudity
0.98,3,3,0.4,R,6.5,159,72,y,tiny,Choke,choking|friend|hospital|restaurant|scam
1.19,4,5,0.8,R,5.3,30,49,y,tiny,8 Heads in a Duffel Bag,camera shot of feet|female stockinged feet|female stockinged soles|nude pantyhose|pantyhose
1.58,2,3,0.5,R,7.5,106,318,y,tiny,Buffalo '66,shower|stripper|tap dancing|underwear|undressing
1.94,2,5,0.6,R,7.4,151,243,y,tiny,Me and You and Everyone We Know,fellatio|seven word title|shoe salesman|title directed by female|written by director
2.58,4,11,1.4,R,7,157,215,y,tiny,The Cooler,female pubic hair|girl in panties|leg spreading|public nudity|sex in bed
2.7,3,8,1,R,7.9,405,270,y,tiny,Before Midnight,friend|greece|greek|hotel room|twin
2.77,4,11,1.2,R,7.4,377,283,y,tiny,Blue Valentine,dog hit by a car|dysfunctional family|falling in love|female in shower|unhappily married woman
3.34,3,11,1.3,R,5.9,49,20,y,tiny,Next Day Air,cocaine|package|slow motion scene|topless female nudity|wrong address
4.33,4,18,2.1,R,4.7,69,48,y,tiny,A Haunted House 2,bare breasts|parody|sexual innuendo|slip and fall|squirting orgasm
4.91,2,9,1.1,R,7.4,110,232,y,tiny,The Squid and the Whale,boy|divorce|tennis|tennis coach|writer
5.2,3,14,1.8,R,7.7,197,345,y,tiny,Religulous,catholic|christian|jew|muslim|religion
5.37,4,20,2.5,R,6.8,91,236,y,tiny,Waiting...,cook|dishwasher|flashing|male frontal nudity|waiter
5.77,3,17,2.3,R,7.6,123,434,y,tiny,Boys Don't Cry,drinking|female dressed as male|love|nebraska|transgender
7.34,2,15,1.8,R,6.9,533,631,y,tiny,It Follows,ambiguous ending|being followed|sex scene|supernatural|supernatural being
8.16,3,25,3,R,6.6,364,314,y,tiny,Don Jon,camera focus on female butt|cunnilingus|new jersey|oral sex|reference to facebook
8.85,4,36,4.2,R,4.6,149,131,y,tiny,The Boy Next Door,adultery|argument|older woman younger man relationship|oral sex|sex scene
9.01,1,11,1.4,R,7.4,169,230,y,tiny,Transamerica,bail|male full frontal nudity|sex change|stepfather|transsexual
15.41,2,25,3.3,R,7.1,100,333,y,tiny,Super Troopers,drugs|highway|police|state trooper|vermont
40.79,0,16,1.9,R,6.5,26,26,y,tiny,She's Gotta Have It,female nudity|male model|nudity|rite of passage|sex
61,1,40,5.1,R,5.7,235,916,y,tiny,Open Water,bare chested male|female full frontal nudity|hairy chest|male full frontal nudity|nude with glasses
0,210,1,0.1,G,6.6,188,444,n,large,The Polar Express,boy|christmas|christmas eve|north pole|train
0.03,128,4,0.6,R,6.8,102,189,n,large,Heaven's Gate,1890s|hired gun|immigrant|johnson county war|sheriff
0.04,133,6,0.8,PG-13,3.8,66,164,n,large,The Adventures of Pluto Nash,casino|future|laser gun|moon|nightclub
0.07,102,7,1,PG-13,4.7,74,171,n,large,Monkeybone,carnival|coma|death|monkey|nightmare
0.11,154,17,2.5,PG-13,5.6,61,169,n,large,Cutthroat Island,latin|pirate|pirate ship|treasure|treasure map
0.14,160,23,2.7,PG,5.4,132,112,n,large,Mars Needs Moms,boy|martian|rescue|robot|sexism
0.16,106,17,2.5,R,4.7,44,84,n,large,Turbulence,airplane|christmas|marshal|pilot|u.s. marshal
0.2,155,31,3.2,G,6.2,22,50,n,large,Darling Lili,crepe suzette|french|mata hari spoof|song|spy
0.2,103,21,2.7,PG,2.2,78,239,n,large,Son of the Mask,baby|cartoon on tv|cartoonist|dog|mask
0.21,136,28,3.6,PG-13,6,106,267,n,large,The Alamo,army|dictator|general|texan|texas
0.22,140,30,3.9,PG,5.8,188,191,n,large,Around the World in 80 Days,19th century|around the world|inventor|martial arts|train
0.22,180,39,4.7,PG-13,6.3,218,324,n,large,47 Ronin,box office flop|ronin|samurai|shogun|tournament
0.22,120,26,3.8,R,6,79,376,n,large,The Postman,drifter|escape|hope|postman|usa
0.22,140,31,3.6,PG-13,5.5,184,273,n,large,Gods of Egypt,ancient egypt|egypt|egyptian|egyptian god|egyptian goddess
0.23,152,35,4.1,PG,5.8,256,186,n,large,Pan,1940s|child hero|fantasy world|orphan|reference to peter pan
0.23,186,44,5.7,PG-13,6.4,166,788,n,large,Final Fantasy: The Spirits Within,general|military|scientist|soldier|year 2065
0.23,166,39,4.9,PG-13,5,145,388,n,large,Stealth,artificial intelligence|box office flop|fighter jet|navy|pilot
0.24,104,25,3.2,PG-13,5.6,123,457,n,large,Timeline,castle|france|professor|student|time machine
